n = 660

(h, s, v): arrow center misses
(0.25, 0.15, 0.60): 172
(0.15, 0.20, 0.65): 173
(0.00, 0.25, 0.75): 175
(0.35, 0.10, 0.55): 184
(0.00, 0.20, 0.80): 190
(0.20, 0.15, 0.65): 193
(0.15, 0.15, 0.70): 193
(0.45, 0.05, 0.50): 196
(0.25, 0.10, 0.65): 196
(0.05, 0.20, 0.75): 196
(0.30, 0.10, 0.60): 198
(0.10, 0.15, 0.75): 207
(0.35, 0.05, 0.60): 208
(0.50, 0.00, 0.50): 211
(0.40, 0.05, 0.55): 213
(0.15, 0.10, 0.75): 214
(0.20, 0.10, 0.70): 220
(0.00, 0.15, 0.85): 223
(0.05, 0.15, 0.80): 224
(0.45, 0.00, 0.55): 229
(0.10, 0.10, 0.80): 231
(0.30, 0.05, 0.65): 237
(0.40, 0.00, 0.60): 239
(0.20, 0.05, 0.75): 239
(0.25, 0.05, 0.70): 244
(0.35, 0.00, 0.65): 260
(0.15, 0.05, 0.80): 262
(0.00, 0.10, 0.90): 262
(0.05, 0.10, 0.85): 263
(0.30, 0.00, 0.70): 281
(0.10, 0.05, 0.85): 289
(0.25, 0.00, 0.75): 292
(0.20, 0.00, 0.80): 296
(0.15, 0.00, 0.85): 298
(0.05, 0.05, 0.90): 299
(0.00, 0.05, 0.95): 299
(0.10, 0.00, 0.90): 317
(0.05, 0.00, 0.95): 332
